Time,Time Code,Series Name,Series Code,United Kingdom [GBR],Afghanistan [AFG],Albania [ALB],Algeria [DZA],American Samoa [ASM],Andorra [AND],Angola [AGO],Antigua and Barbuda [ATG],Argentina [ARG],Armenia [ARM],Aruba [ABW],Australia [AUS],Austria [AUT],Azerbaijan [AZE],"Bahamas, The [BHS]",Bahrain [BHR],Bangladesh [BGD],Barbados [BRB],Belarus [BLR],Belgium [BEL],Belize [BLZ],Benin [BEN],Bermuda [BMU],Bhutan [BTN],Bolivia [BOL],Bosnia and Herzegovina [BIH],Botswana [BWA],Brazil [BRA],British Virgin Islands [VGB],Brunei Darussalam [BRN],Bulgaria [BGR],Burkina Faso [BFA],Burundi [BDI],Cabo Verde [CPV],Cambodia [KHM],Cameroon [CMR],Canada [CAN],Cayman Islands [CYM],Central African Republic [CAF],Chad [TCD],Channel Islands [CHI],Chile [CHL],China [CHN],Colombia [COL],Comoros [COM],"Congo, Dem. Rep. [COD]","Congo, Rep. [COG]",Costa Rica [CRI],Cote d'Ivoire [CIV],Croatia [HRV],Cuba [CUB],Curacao [CUW],Cyprus [CYP],Czech Republic [CZE],Denmark [DNK],Djibouti [DJI],Dominica [DMA],Dominican Republic [DOM],Ecuador [ECU],"Egypt, Arab Rep. [EGY]",El Salvador [SLV],Equatorial Guinea [GNQ],Eritrea [ERI],Estonia [EST],Eswatini [SWZ],Ethiopia [ETH],Faroe Islands [FRO],Fiji [FJI],Finland [FIN],France [FRA],French Polynesia [PYF],Gabon [GAB],"Gambia, The [GMB]",Georgia [GEO],Germany [DEU],Ghana [GHA],Gibraltar [GIB],Greece [GRC],Greenland [GRL],Grenada [GRD],Guam [GUM],Guatemala [GTM],Guinea [GIN],Guinea-Bissau [GNB],Guyana [GUY],Haiti [HTI],Honduras [HND],"Hong Kong SAR, China [HKG]",Hungary [HUN],Iceland [ISL],India [IND],Indonesia [IDN],"Iran, Islamic Rep. [IRN]",Iraq [IRQ],Ireland [IRL],Isle of Man [IMN],Israel [ISR],Italy [ITA],Jamaica [JAM],Japan [JPN],Jordan [JOR],Kazakhstan [KAZ],Kenya [KEN],Kiribati [KIR],"Korea, Dem. People's Rep. [PRK]","Korea, Rep. [KOR]",Kosovo [XKX],Kuwait [KWT],Kyrgyz Republic [KGZ],Lao PDR [LAO],Latvia [LVA],Lebanon [LBN],Lesotho [LSO],Liberia [LBR],Libya [LBY],Liechtenstein [LIE],Lithuania [LTU],Luxembourg [LUX],"Macao SAR, China [MAC]",Madagascar [MDG],Malawi [MWI],Malaysia [MYS],Maldives [MDV],Mali [MLI],Malta [MLT],Marshall Islands [MHL],Mauritania [MRT],Mauritius [MUS],Mexico [MEX],"Micronesia, Fed. Sts. [FSM]",Moldova [MDA],Monaco [MCO],Mongolia [MNG],Montenegro [MNE],Morocco [MAR],Mozambique [MOZ],Myanmar [MMR],Namibia [NAM],Nauru [NRU],Nepal [NPL],Netherlands [NLD],New Caledonia [NCL],New Zealand [NZL],Nicaragua [NIC],Niger [NER],Nigeria [NGA],North Macedonia [MKD],Northern Mariana Islands [MNP],Norway [NOR],Oman [OMN],Pakistan [PAK],Palau [PLW],Panama [PAN],Papua New Guinea [PNG],Paraguay [PRY],Peru [PER],Philippines [PHL],Poland [POL],Portugal [PRT],Puerto Rico [PRI],Qatar [QAT],Romania [ROU],Russian Federation [RUS],Rwanda [RWA],Samoa [WSM],San Marino [SMR],Sao Tome and Principe [STP],Saudi Arabia [SAU],Senegal [SEN],Serbia [SRB],Seychelles [SYC],Sierra Leone [SLE],Singapore [SGP],Sint Maarten (Dutch part) [SXM],Slovak Republic [SVK],Slovenia [SVN],Solomon Islands [SLB],Somalia [SOM],South Africa [ZAF],South Sudan [SSD],Spain [ESP],Sri Lanka [LKA],St. Kitts and Nevis [KNA],St. Lucia [LCA],St. Martin (French part) [MAF],St. Vincent and the Grenadines [VCT],Sudan [SDN],Suriname [SUR],Sweden [SWE],Switzerland [CHE],Syrian Arab Republic [SYR],Tajikistan [TJK],Tanzania [TZA],Thailand [THA],Timor-Leste [TLS],Togo [TGO],Tonga [TON],Trinidad and Tobago [TTO],Tunisia [TUN],Turkey [TUR],Turkmenistan [TKM],Turks and Caicos Islands [TCA],Tuvalu [TUV],Uganda [UGA],Ukraine [UKR],United Arab Emirates [ARE],United States [USA],Uruguay [URY],Uzbekistan [UZB],Vanuatu [VUT],"Venezuela, RB [VEN]",Vietnam [VNM],Virgin Islands (U.S.) [VIR],West Bank and Gaza [PSE],"Yemen, Rep. [YEM]",Zambia [ZMB]
2020,YR2020,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,1,1,1,1,..,..,1,1,1,1,..,1,1,1,1,0,1,1,1,1,1,1,..,1,1,1,1,1,..,1,1,1,1,1,1,0,1,..,1,0,..,1,1,1,0,1,1,1,1,1,..,..,1,1,1,1,1,1,1,0,1,0,1,1,0,1,..,1,1,1,..,0,1,1,1,1,..,1,..,1,..,1,1,0,1,1,1,1,1,1,1,1,0,1,1,..,1,1,1,1,0,1,1,1,..,1,1,0,1,1,1,1,1,1,1,..,1,1,..,1,1,1,1,1,1,1,0,1,1,1,1,..,1,1,1,1,1,1,..,1,1,..,1,1,0,1,1,..,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,..,1,1,1,1,1,1,1,1,1,1,..,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,..,..,..,1,1,1,1,1,1,1,1,1,..,0,0,1
2020,YR2020,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,1,0,1,0,..,..,1,1,1,1,..,1,1,0,1,0,1,1,1,1,1,1,..,1,1,0,1,1,..,1,1,1,1,1,1,1,1,..,1,1,..,1,1,1,1,1,1,1,1,1,..,..,1,1,1,1,1,1,1,0,1,1,1,1,1,1,..,1,1,1,..,1,1,1,1,1,..,1,..,1,..,1,1,0,1,1,1,1,1,1,0,1,1,0,1,..,1,1,1,1,1,1,1,1,..,1,1,0,1,1,1,1,1,1,1,..,1,1,..,1,1,1,1,1,1,1,1,1,1,1,1,..,1,0,1,1,1,1,..,1,1,..,1,1,1,1,1,..,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,1,1,0,0,1,1,1,0,1,1,..,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,..,..,..,1,0,1,1,1,1,0,1,1,..,0,0,1
2020,YR2020,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,1,0,1,0,..,..,0,1,0,1,..,1,1,0,1,1,0,1,0,1,1,0,..,1,1,1,1,1,..,1,1,0,1,1,1,0,1,..,0,0,..,1,0,1,1,0,0,0,0,1,..,..,1,1,1,0,1,1,1,0,1,1,1,1,1,0,..,1,1,1,..,0,1,1,1,1,..,1,..,1,..,0,0,0,1,1,0,1,1,1,1,1,0,0,1,..,0,1,1,0,1,0,1,1,..,0,1,0,0,1,1,1,1,1,0,..,1,1,..,0,1,1,1,0,1,1,0,1,1,1,1,..,1,1,0,0,1,1,..,1,1,..,1,1,0,1,1,..,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,..,1,1,1,1,1,1,1,1,1,1,..,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,..,..,..,1,0,1,1,1,0,1,1,1,..,0,0,1
2020,YR2020,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,1,0,1,1,..,..,0,1,0,1,..,1,1,0,1,0,0,0,0,1,0,0,..,1,1,0,1,1,..,1,1,0,1,1,1,0,1,..,0,0,..,1,0,0,1,1,0,1,0,1,..,..,0,1,1,0,0,1,1,0,1,1,1,1,0,0,..,0,1,1,..,0,1,1,1,0,..,1,..,1,..,1,0,0,1,1,1,1,1,1,0,1,1,1,1,..,0,1,0,0,0,0,1,1,..,0,1,0,0,1,1,0,0,1,1,..,1,1,..,0,1,0,1,0,0,1,0,1,1,1,1,..,1,1,0,1,0,1,..,1,1,..,1,1,1,0,0,..,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,..,1,0,0,0,1,1,1,0,0,1,..,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,..,..,..,1,0,1,1,0,0,1,1,0,..,0,1,1
2020,YR2020,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,..,9,53,87,..,..,39,..,72,48,..,81,..,50,69,..,..,..,81,..,39,86,..,66,45,..,95,..,..,..,..,98,98,98,82,80,..,..,64,78,..,..,..,90,63,74,25,36,83,73,40,..,..,..,92,31,..,52,81,38,43,53,75,67,98,80,..,42,..,..,..,53,38,62,85,69,..,63,..,..,..,60,54,73,73,87,60,..,..,92,..,24,33,..,85,..,..,94,44,..,23,75,91,..,..,..,..,..,67,56,..,46,87,65,67,..,..,..,..,16,89,63,..,62,..,..,45,21,57,..,60,..,30,43,83,73,..,92,..,66,88,..,79,48,81,98,..,..,79,..,15,..,41,69,41,89,25,..,92,..,98,64,..,96,..,..,..,41,95,64,..,65,..,..,..,..,..,53,78,25,88,52,..,..,..,..,23,39,..,..,30,62,90,79,47,83,..,67,34,..,..,..,..,96,57,98,..,74,70,..,34,72,..,..,28,84
2020,YR2020,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,..,9,45,80,..,..,27,..,62,48,..,86,..,60,61,..,..,..,59,..,37,58,..,33,87,..,77,..,..,..,..,62,82,87,86,70,..,..,47,65,..,..,..,59,60,98,24,66,61,75,98,..,..,..,90,35,..,50,73,45,69,21,73,65,94,81,..,35,..,..,..,56,19,67,86,49,..,67,..,..,..,73,46,40,60,75,50,..,..,86,..,28,26,..,85,..,..,89,37,..,44,49,77,..,..,..,..,..,36,53,..,72,74,37,42,..,..,..,..,12,83,48,..,44,..,..,37,21,55,..,39,..,36,51,68,62,..,82,..,62,88,..,80,51,59,73,..,..,80,..,11,..,55,63,61,77,43,..,84,..,88,67,..,92,..,..,..,68,61,65,..,35,..,..,..,..,..,39,63,23,85,61,..,..,..,..,25,32,..,..,36,49,74,78,52,59,..,76,31,..,..,..,..,86,56,81,..,87,41,..,69,66,..,..,28,80
2020,YR2020,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2020,YR2020,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2020,YR2020,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2020,YR2020,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,11.183,57.509,19.4332,9.3594,..,..,142.822,39.929,62.1322,19.678,18.1728,10.5474,6.4532,57.8168,27.6742,12.981,81.0144,26.2906,12.2408,4.4092,67.173,79.9172,..,16.317,61.9126,8.163,43.952,55.4354,..,8.5908,38.2598,97.5394,53.0748,70.5658,51.8072,98.8814,7.3298,..,122.7428,151.5632,6.1878,38.3112,7.659,63.144,61.4798,119.3768,108.3488,50.6358,113.2212,7.4336,51.3628,26.9586,4.2118,11.8502,4.261,17.6482,..,90.5826,77.7658,51.62,66.9228,149.1132,47.0024,5.9004,72.6762,61.7704,..,48.7158,5.3504,4.7546,38.085,88.2392,70.7474,42.7384,7.3804,64.1306,..,6.3668,..,26.2274,28.3938,67.408,129.507,100.0296,69.8406,49.5088,69.7152,2.5286,24.8688,5.1818,9.8584,45.9676,40.8096,71.7588,6.1398,..,8.362,4.85,48.4418,3.4332,25.7702,28.592,71.976,13.8598,0.292,1.2032,..,7.2694,31.7982,63.997,15.0622,13.6714,92.282,134.7746,5.6064,..,8.8998,4.3574,2.1488,104.0322,130.9424,13.5724,6.6214,162.3464,11.7318,..,66.786,24.3658,57.6326,11.8342,21.7106,..,32.3292,7.717,29.975,141.5004,27.6018,57.642,..,62.955,3.5324,13.7056,17.2738,79.9344,177.4642,101.681,14.04,..,5.0324,11.9772,37.0278,..,79.4598,50.636,69.5392,54.0914,55.9696,9.4316,7.2436,26.7244,8.9248,34.183,17.4608,38.328,22.1136,..,90.7928,6.643,66.698,13.0212,59.5732,105.0286,3.4802,..,26.4376,3.4052,79.2288,92.7656,67.7304,54.2196,7.0212,20.2192,..,38.5656,..,46.5294,54.402,58.6088,5.2158,2.4054,36.6696,58.2598,114.008,44.2504,29.522,87.8814,13.6666,27.8214,7.868,23.5494,23.8612,..,..,110.5422,21.5858,4.5684,15.9486,57.2618,25.0482,47.8506,84.2636,25.5974,25.1706,50.1164,56.7832,114.6904
