Fraction,Beta,Noise,Method,Average
0.25,0.25,0.010000000000000002,Clarity,0.9996563573883162
0.25,0.25,0.010000000000000002,Omni,0.6214776632302406
0.25,0.25,0.010000000000000002,UASE,0.906426116838488
0.25,0.25,0.04000000000000001,Clarity,0.9997938144329896
0.25,0.25,0.04000000000000001,Omni,0.5803092783505155
0.25,0.25,0.04000000000000001,UASE,0.8503436426116838
0.25,0.25,0.09000000000000002,Clarity,0.9999312714776633
0.25,0.25,0.09000000000000002,Omni,0.5513058419243986
0.25,0.25,0.09000000000000002,UASE,0.7313058419243986
0.25,0.25,0.16000000000000003,Clarity,0.9998281786941581
0.25,0.25,0.16000000000000003,Omni,0.5046735395189004
0.25,0.25,0.16000000000000003,UASE,0.6305498281786942
0.25,0.25,0.25,Clarity,0.994914089347079
0.25,0.25,0.25,Omni,0.47580756013745706
0.25,0.25,0.25,UASE,0.5512371134020618
0.25,0.25,0.36,Clarity,0.9669415807560138
0.25,0.25,0.36,Omni,0.4374914089347079
0.25,0.25,0.36,UASE,0.498659793814433
0.25,0.25,0.4900000000000001,Clarity,0.9087972508591066
0.25,0.25,0.4900000000000001,Omni,0.4209278350515464
0.25,0.25,0.4900000000000001,UASE,0.4692783505154639
0.25,0.25,0.6400000000000001,Clarity,0.8356701030927836
0.25,0.25,0.6400000000000001,Omni,0.44859106529209625
0.25,0.25,0.6400000000000001,UASE,0.46443298969072166
0.25,0.25,0.81,Clarity,0.7530240549828179
0.25,0.25,0.81,Omni,0.45075601374570445
0.25,0.25,0.81,UASE,0.46649484536082475
0.25,0.25,1,Clarity,0.6858762886597938
0.25,0.25,1,Omni,0.4663573883161512
0.25,0.25,1,UASE,0.4589003436426117
0.25,0.5,0.010000000000000002,Clarity,0.9996563573883162
0.25,0.5,0.010000000000000002,Omni,0.6056013745704467
0.25,0.5,0.010000000000000002,UASE,0.9341237113402062
0.25,0.5,0.04000000000000001,Clarity,0.9997938144329896
0.25,0.5,0.04000000000000001,Omni,0.5818213058419244
0.25,0.5,0.04000000000000001,UASE,0.9190721649484536
0.25,0.5,0.09000000000000002,Clarity,0.9999656357388316
0.25,0.5,0.09000000000000002,Omni,0.5507903780068728
0.25,0.5,0.09000000000000002,UASE,0.8950515463917526
0.25,0.5,0.16000000000000003,Clarity,1
0.25,0.5,0.16000000000000003,Omni,0.5097250859106529
0.25,0.5,0.16000000000000003,UASE,0.8603436426116838
0.25,0.5,0.25,Clarity,0.9999312714776633
0.25,0.5,0.25,Omni,0.45852233676975945
0.25,0.5,0.25,UASE,0.8211683848797251
0.25,0.5,0.36,Clarity,0.9979725085910653
0.25,0.5,0.36,Omni,0.42800687285223366
0.25,0.5,0.36,UASE,0.7574570446735395
0.25,0.5,0.4900000000000001,Clarity,0.9892783505154639
0.25,0.5,0.4900000000000001,Omni,0.43099656357388316
0.25,0.5,0.4900000000000001,UASE,0.6219587628865979
0.25,0.5,0.6400000000000001,Clarity,0.9619931271477663
0.25,0.5,0.6400000000000001,Omni,0.42584192439862545
0.25,0.5,0.6400000000000001,UASE,0.5425773195876289
0.25,0.5,0.81,Clarity,0.9161512027491409
0.25,0.5,0.81,Omni,0.4307560137457045
0.25,0.5,0.81,UASE,0.5175601374570447
0.25,0.5,1,Clarity,0.8533676975945017
0.25,0.5,1,Omni,0.4663573883161512
0.25,0.5,1,UASE,0.49800687285223366
0.25,0.75,0.010000000000000002,Clarity,0.9996563573883162
0.25,0.75,0.010000000000000002,Omni,0.5871134020618557
0.25,0.75,0.010000000000000002,UASE,0.959278350515464
0.25,0.75,0.04000000000000001,Clarity,0.9998281786941581
0.25,0.75,0.04000000000000001,Omni,0.5661168384879725
0.25,0.75,0.04000000000000001,UASE,0.9568384879725086
0.25,0.75,0.09000000000000002,Clarity,0.9999656357388316
0.25,0.75,0.09000000000000002,Omni,0.5381443298969072
0.25,0.75,0.09000000000000002,UASE,0.9534707903780069
0.25,0.75,0.16000000000000003,Clarity,1
0.25,0.75,0.16000000000000003,Omni,0.49350515463917527
0.25,0.75,0.16000000000000003,UASE,0.95
0.25,0.75,0.25,Clarity,0.9999656357388316
0.25,0.75,0.25,Omni,0.4550171821305842
0.25,0.75,0.25,UASE,0.9398281786941581
0.25,0.75,0.36,Clarity,0.9997938144329896
0.25,0.75,0.36,Omni,0.44261168384879723
0.25,0.75,0.36,UASE,0.9172164948453608
0.25,0.75,0.4900000000000001,Clarity,0.9979381443298969
0.25,0.75,0.4900000000000001,Omni,0.5564948453608247
0.25,0.75,0.4900000000000001,UASE,0.8285910652920963
0.25,0.75,0.6400000000000001,Clarity,0.9892783505154639
0.25,0.75,0.6400000000000001,Omni,0.5409278350515464
0.25,0.75,0.6400000000000001,UASE,0.7083848797250859
0.25,0.75,0.81,Clarity,0.967594501718213
0.25,0.75,0.81,Omni,0.4978694158075601
0.25,0.75,0.81,UASE,0.6386254295532646
